,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,
2D
15,0.5,0.5789,0.066,0.8085,0.6361,0.4923,0.0564,0.7599,0.9783,0.4683,0.069,0.7567,0.9903,0.4473,0.0677,0.7561,0.9942,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.6,0.5879,0.0782,0.8138,0.6792,0.5149,0.066,0.7702,0.978,0.4801,0.0669,0.7665,0.9941,0.452,0.0553,0.7672,0.9971,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.7,0.6089,0.0866,0.8408,0.6239,0.5138,0.0668,0.7889,0.9828,0.4775,0.0682,0.7854,0.9915,0.4561,0.0838,0.7837,0.9939,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.8,0.6588,0.0525,0.8843,0.5831,0.5453,0.083,0.8224,0.977,0.495,0.1147,0.8183,0.997,0.4584,0.1042,0.8179,0.9983,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.9,0.6698,0.0945,0.8795,0.4924,0.4894,0.1952,0.8547,0.9733,0.4334,0.1876,0.849,0.9929,0.4157,0.1811,0.8477,0.9902,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
20,0.5,0.5784,0.0624,0.8078,0.6082,0.488,0.0526,0.757,0.9788,0.4665,0.0667,0.7538,0.9898,0.4484,0.0689,0.7527,0.9932,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
20,0.6,0.6022,0.0739,0.8159,0.6487,0.5248,0.0648,0.7702,0.9769,0.4821,0.0647,0.7667,0.9944,0.4535,0.0521,0.7674,0.9973,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
20,0.7,0.6094,0.0877,0.8383,0.5936,0.5076,0.0623,0.7814,0.9823,0.4636,0.0694,0.7784,0.9915,0.4473,0.0914,0.7766,0.9936,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
20,0.8,0.6473,0.0673,0.8817,0.5566,0.5372,0.0783,0.8094,0.9747,0.4784,0.098,0.8059,0.9974,0.4446,0.0887,0.8055,0.9983,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
20,0.9,0.6759,0.0877,0.8847,0.4207,nan,nan,0.8448,0.9639,nan,nan,0.8391,0.9916,nan,nan,0.8358,0.9879,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
30,0.5,0.5841,0.0575,0.8083,0.5819,0.4866,0.0536,0.754,0.9788,0.4662,0.0714,0.751,0.9899,0.4484,0.0727,0.7499,0.9933,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
30,0.6,0.5883,0.0775,0.811,0.6155,0.5204,0.0602,0.7673,0.9754,0.4808,0.0649,0.7643,0.995,0.4522,0.0503,0.7648,0.9978,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
30,0.7,0.6077,0.0818,0.836,0.5716,0.5175,0.0649,0.7785,0.983,0.4717,0.0818,0.7756,0.9918,0.4545,0.093,0.7738,0.9939,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
30,0.8,0.639,0.0728,0.8729,0.5285,0.5173,0.0901,0.8035,0.9791,0.4634,0.1032,0.8011,0.9976,0.4378,0.0924,0.8005,0.9981,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
30,0.9,0.6486,0.0907,0.8812,0.397,nan,nan,0.8375,0.9699,nan,nan,0.8353,0.9919,nan,nan,0.8333,0.9884,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
40,0.5,0.5933,0.0485,0.8049,0.5588,0.4821,0.0548,0.7503,0.9797,0.4603,0.0717,0.7471,0.9901,0.4431,0.0713,0.7462,0.9935,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
40,0.6,0.5821,0.0796,0.8085,0.603,0.5201,0.0654,0.7646,0.9756,0.4783,0.0677,0.7618,0.995,0.448,0.0517,0.7622,0.9978,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
40,0.7,0.6169,0.0814,0.8339,0.5439,0.5195,0.0699,0.7774,0.9832,0.4692,0.0967,0.7745,0.9919,0.4461,0.097,0.7728,0.9939,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
40,0.8,0.6249,0.078,0.8656,0.506,0.5513,0.0927,0.8049,0.979,0.4812,0.1061,0.8025,0.9975,0.4454,0.096,0.802,0.998,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
40,0.9,0.64,0.0967,0.8763,0.3841,nan,nan,0.8284,0.9723,nan,nan,0.8255,0.9916,nan,nan,0.8229,0.9906,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
