PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality, Hand_Qx, Hand_Qy, Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z, ObjectName, Object_Qx, Object_Qy, Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz, Start_Position,1.38E+18,Succ_Rate,
0.860166329,6.62E-05,0.134776505,1.47753,0.865166285,0.000191157,8.93E-05,0.325001858,8.81E-07,0.000447,-2.00E+05,34.2963,2.00E+07,0.590306723,0.548315025,-0.382702332,0.452136629,0.335635143,-0.004753106,-0.116278269, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,10,
0.635231567,0.000253532,0.040785501,0.847695,0.812114636,0.000168512,8.19E-05,1.644811163,3.94E-05,0.00202,-2.00E+05,36.311,2.00E+07,0.169454358,-0.418540215,0.854275749,-0.257531073,0.361621366,0.009182634,-0.154304154, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,1,
0.745285747,0.000180025,0.056701502,0.765679,0.805324025,0.00019387,9.65E-05,0.584070139,7.44E-06,0.00045,-2.00E+05,34.341,2.00E+07,0.831976527,0.271222094,-0.479207089,0.067927899,0.34713442,0.008152507,-0.136689169, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,0,
0.846379828,2.94E-06,0.086890503,1.06303,0.76330712,0.00019016,8.73E-05,2.39569525,2.91E-05,0.000307,-2.00E+05,43.6951,2.00E+07,0.161814787,0.472287282,0.671586439,-0.547478175,0.363470609,0.00470561,-0.141992046, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,9,
0.864111679,0.00028576,0.117134003,0.775758,0.432689246,0.000191597,0.000108597,1.484357041,0.000292148,0.00862,0.0191,21.9329,-2.16517,0.051505082,0.010925139,-0.683695901,0.727865223,0.413191182,0.00890508,-0.131748706, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,4,
0.845006498,0.000559774,0.0006125,1.06812,0.666753119,0.000223642,9.01E-05,2.819911712,0.000161916,0.000325,-2.00E+05,19.4209,2.00E+07,0.68292362,0.0718925,0.663270499,-0.2975215,0.420303673,0.012413452,-0.093008502, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,10,
0.821382316,7.48E-05,0.0037665,1.14116,0.52966766,0.000200592,9.49E-05,1.141025818,0.000543459,0.00134,-2.00E+05,18.1639,2.00E+07,0.277854499,0.779289189,-0.557498746,0.068559351,0.439156035,0.017647509,-0.110001539, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,0,
0.816385666,0.000125547,0.0081935,1.25856,0.538368129,0.000209171,9.12E-05,2.83262716,0.000233246,0.000832,-2.00E+05,24.3888,2.00E+07,-0.430392861,0.586588489,-0.552619819,-0.406555366,0.448690981,-0.013968669,-0.110795729, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,8,
0.834163323,9.86E-05,0.003374,1.10684,0.540702402,0.000207928,9.25E-05,3.012215438,0.000232937,0.00307,0.0285,26.8435,-2.94495,0.494802855,0.532112464,0.52325368,-0.445232576,0.441575775,0.015804154,-0.107638942, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,10,
0.693576809,0.000205723,0.0013065,1.23353,0.531577519,0.000190069,0.000110723,1.276699499,0.000277963,0.000963,-2.00E+05,25.9036,2.00E+07,0.46463325,0.868527181,-0.148888987,0.087226992,0.418965937,0.022338408,-0.118173969, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,0,
0.92423917,0.000830225,0.054060501,0.915289,0.583992548,0.000202826,8.87E-05,2.572288819,0.000256705,0.00218,0.00996,26.1001,-1.0617,0.676574921,0.003475,0.620419001,-0.396629,0.430510305,0.029207145,-0.131365146, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,10,
0.877096892,0.000315816,0.158796504,0.750327,0.467703334,0.000200604,0.000102377,1.297832203,0.000262196,0.00395,0.0181,21.9705,-1.92507,0.090267135,0.101807508,-0.662481453,0.73661754,0.419759567,0.008877771,-0.122177412, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,10,
0.920560984,0.000275198,0.0001715,0.971473,0.630041379,0.000195099,0.000109101,1.444662156,0.000352501,0.00181,0.0134,16.8083,-1.38951,-0.193026156,0.977156722,0.073643097,0.049823066,0.409196805,-0.010635875,-0.106982594, pitcher,0.707106781,0.707106781,0,0,0.42204,5.42E-34,-0.295,0,1.38E+18,10,
