PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0.688297355,0.000376337,0.008216,0.989064,0.75142355,0.000174214,7.77E-05,1.329631345,5.84E-05,0.000343,-2.00E+05,25.6311,2.00E+07,1
0.493428896,0.000393558,0.027685501,1.49908,0.64553246,0.000122096,0.000109622,1.287105567,9.67E-05,0.00136,0.00478,27.479,-0.518821,0.2
0.552745764,0.00011263,0.080041502,1.0999,0.670997251,0.000111881,0.000106433,2.036178662,8.70E-05,0.00166,-2.00E+05,23.2796,2.00E+07,0.9
0.570021481,0.000212548,0.00465,1.48592,0.670360631,0.000113554,0.000107594,1.616483157,0.000115512,0.00653,0.0392,18.0248,-4.11908,1
0.5176454,0.000384212,0.0022295,1.45278,0.654020724,0.000116269,0.00010222,1.422838887,0.000121845,0.00135,0.0135,24.8841,-1.39271,0.7
0.551597535,0.000221466,0.0005585,1.52508,0.651474244,0.000113025,0.000106652,1.183100716,7.80E-05,0.00676,0.0258,24.56,-2.7787,0
0.458894691,6.91E-05,0.037030501,1.40754,0.675453589,0.000117275,0.000105865,1.66971439,0.000101787,0.00551,0.0156,21.0757,-1.72856,1
0.553630068,6.87E-05,0.0206285,1.40437,0.679061101,0.000120705,0.000106046,2.306567501,6.60E-05,0.00547,0.0113,24.415,-1.29165,1
0.565397322,0.000269588,0.0135645,1.09907,0.736569089,0.000108609,0.000111077,1.64856659,8.75E-05,0.000769,-2.00E+05,25.7539,2.00E+07,0.8
0.471457291,0.000123777,0.0012545,1.47879,0.654657344,0.000133396,0.000100917,1.747721177,3.86E-05,0.00109,0.00665,30.9325,-0.698104,1
0.942589659,1.43E-05,0.040074001,1.35155,0.76139726,0.00012982,0.000119019,2.880719096,1.13E-05,0.00759,-2.00E+05,21.1725,2.00E+07,1
0.521017213,0.000219816,0.000806,1.50344,0.660386921,0.000114456,0.000106654,1.549030934,0.00012304,0.00644,0.0443,19.6212,-4.62388,0.9
0.552225599,0.000214694,0.0081965,1.49256,0.675665796,0.000111818,0.000103165,1.336086327,0.000119295,0.00666,0.0126,21.089,-1.45591,1
0.546392607,0.000253858,0.0002765,1.43375,0.65359631,0.000108715,0.000103171,1.321234051,7.03E-05,0.0169,0.0518,26.1993,-5.68558,1
0.709139061,6.42E-05,0.0088115,1.49944,0.672482697,0.000129475,0.000103961,2.558681026,6.30E-05,0.00713,0.0192,24.9056,-2.13647,0
0.820849346,4.34E-05,0.102693502,1.34585,0.855192575,0.000193334,9.16E-05,0.31678112,3.89E-06,0.000494,-2.00E+05,33.5823,2.00E+07,0
0.791668391,4.43E-05,0.013434501,0.76334,0.871108069,0.000172597,9.15E-05,1.238358698,2.10E-05,0.000394,-2.00E+05,36.1349,2.00E+07,1
0.761683108,5.00E-05,0.065864002,0.840251,0.85858788,0.000164811,8.66E-05,1.229508513,2.37E-05,0.000353,-2.00E+05,30.6444,2.00E+07,0.8
0.066235675,9.44E-06,0.008978,1.46749,0.845643278,0.000201069,7.38E-05,3.046248596,6.21E-06,4.72E-05,-2.00E+05,36.6122,2.00E+07,1
0.860166329,6.62E-05,0.134776505,1.47753,0.865166285,0.000191157,8.93E-05,0.325001858,8.81E-07,0.000447,-2.00E+05,34.2963,2.00E+07,1
0.635231567,0.000253532,0.040785501,0.847695,0.812114636,0.000168512,8.19E-05,1.644811163,3.94E-05,0.00202,-2.00E+05,36.311,2.00E+07,0.1
0.745285747,0.000180025,0.056701502,0.765679,0.805324025,0.00019387,9.65E-05,0.584070139,7.44E-06,0.00045,-2.00E+05,34.341,2.00E+07,0
0.846379828,2.94E-06,0.086890503,1.06303,0.76330712,0.00019016,8.73E-05,2.39569525,2.91E-05,0.000307,-2.00E+05,43.6951,2.00E+07,0.9
0.864111679,0.00028576,0.117134003,0.775758,0.432689246,0.000191597,0.000108597,1.484357041,0.000292148,0.00862,0.0191,21.9329,-2.16517,0.4
0.845006498,0.000559774,0.0006125,1.06812,0.666753119,0.000223642,9.01E-05,2.819911712,0.000161916,0.000325,-2.00E+05,19.4209,2.00E+07,1
0.821382316,7.48E-05,0.0037665,1.14116,0.52966766,0.000200592,9.49E-05,1.141025818,0.000543459,0.00134,-2.00E+05,18.1639,2.00E+07,0
0.816385666,0.000125547,0.0081935,1.25856,0.538368129,0.000209171,9.12E-05,2.83262716,0.000233246,0.000832,-2.00E+05,24.3888,2.00E+07,0.8
0.834163323,9.86E-05,0.003374,1.10684,0.540702402,0.000207928,9.25E-05,3.012215438,0.000232937,0.00307,0.0285,26.8435,-2.94495,1
0.693576809,0.000205723,0.0013065,1.23353,0.531577519,0.000190069,0.000110723,1.276699499,0.000277963,0.000963,-2.00E+05,25.9036,2.00E+07,0
0.92423917,0.000830225,0.054060501,0.915289,0.583992548,0.000202826,8.87E-05,2.572288819,0.000256705,0.00218,0.00996,26.1001,-1.0617,1
0.877096892,0.000315816,0.158796504,0.750327,0.467703334,0.000200604,0.000102377,1.297832203,0.000262196,0.00395,0.0181,21.9705,-1.92507,1
0.920560984,0.000275198,0.0001715,0.971473,0.630041379,0.000195099,0.000109101,1.444662156,0.000352501,0.00181,0.0134,16.8083,-1.38951,1
0.954154056,0.000471328,0.003974,0.777984,0.510781272,0.000187366,9.70E-05,1.477563128,0.000188881,0.00343,0.0148,15.2151,-1.58584,1
0.364965058,0.000266855,0.018819501,1.52442,0.612003818,8.50E-05,9.83E-05,1.503754123,2.68E-05,0.00518,-2.00E+05,49.6852,2.00E+07,0
0.37476542,0.000282835,0.068464502,1.49293,0.637893023,8.58E-05,9.68E-05,1.483170441,2.31E-05,0.005,-2.00E+05,47.636,2.00E+07,0
0.629701196,0.000222517,0.0070205,0.873312,0.738054534,8.80E-05,0.000101972,1.485539818,1.75E-05,0.0037,0.026,51.1985,-2.70604,1
0.627133718,0.000153882,0.021063501,0.877091,0.768824491,8.93E-05,0.00010297,1.458635929,1.28E-05,0.00273,0.00764,52.9448,-0.845697,1
0.074201174,2.33E-05,0.105939503,1.50013,0.802353133,9.32E-05,9.90E-05,2.760657463,2.53E-06,0.00495,-2.00E+05,52.1198,2.00E+07,0.1
0.775692899,0.000249469,0.051105501,0.739583,0.732537163,9.13E-05,0.000104975,1.504030169,9.38E-06,0.00386,0.025,58.0931,-2.61862,0.2
0.878995986,6.31E-05,0.062294002,1.37539,0.846492104,0.000136854,9.91E-05,1.381233123,2.72E-06,0.00018,-2.00E+05,34.6963,2.00E+07,1
0.496087385,5.85E-05,0.046989501,0.87918,0.82930337,0.000137627,9.59E-05,1.73085513,2.73E-06,0.000195,-2.00E+05,32.0715,2.00E+07,0
0.410751281,3.08E-05,0.064216502,0.891783,0.826969098,0.00013466,9.98E-05,1.801841006,8.40E-06,0.000288,-2.00E+05,31.5373,2.00E+07,0
0.72768417,9.50E-05,0.107034004,1.48343,0.833335296,0.000143573,0.000101176,1.63251949,2.48E-05,0.000133,-2.00E+05,33.9305,2.00E+07,0
0.387825047,4.58E-05,0.0150965,1.11027,0.83121323,0.000134714,9.68E-05,1.792272446,2.40E-05,0.000149,-2.00E+05,33.4252,2.00E+07,0
0.465784286,3.56E-05,0.080466502,0.795617,0.841399146,0.000133532,0.00010011,1.541344834,1.60E-05,0.000205,-2.00E+05,37.0132,2.00E+07,0
0.953495081,0.000138994,0.044169501,0.740992,0.816995388,0.000101548,9.56E-05,1.578518946,3.48E-05,0.000585,0.0304,23.9314,-3.05854,1
0.965156625,9.05E-05,0.051939501,1.07105,0.826544685,0.000106116,9.54E-05,1.556877657,3.58E-05,0.000774,0.0193,23.8719,-1.95758,1
0.9547133,0.0001734,0.036456001,0.755007,0.805324025,0.000109048,9.64E-05,1.313485935,4.57E-05,0.000549,-2.00E+05,26.4422,2.00E+07,1
0.96143449,4.49E-05,0.018175501,0.818988,0.812326843,0.000114371,9.54E-05,1.450899323,4.60E-05,0.000559,-2.00E+05,27.9823,2.00E+07,1
0.920690098,0.000159497,0.011376501,0.735323,0.81126581,0.000114616,9.85E-05,1.42856362,1.88E-05,0.00038,-2.00E+05,30.0297,2.00E+07,1
0.928252432,0.000168443,0.043489502,1.12155,0.823785998,0.000111488,9.57E-05,1.703840331,4.52E-05,0.000653,-2.00E+05,26.3614,2.00E+07,1
0.537048173,0.000277832,0.440054012,0.904118,0.630465792,0.000106785,9.10E-05,1.830756332,0.000133685,0.000719,-2.00E+05,28.9627,2.00E+07,1
0.89028511,5.38E-05,0.043291501,0.740902,0.805324025,0.000120716,9.88E-05,1.817562372,4.27E-05,0.000635,-2.00E+05,30.4339,2.00E+07,1
0.845274013,0.000165233,0.031440501,1.43261,0.743147493,0.000171672,0.000102048,0.951907203,3.32E-05,0.000326,-2.00E+05,31.1117,2.00E+07,1
0.817942587,2.29E-05,0.281306008,1.2374,0.888933423,0.000184733,9.95E-05,2.855188014,5.94E-06,0.000217,-2.00E+05,28.4646,2.00E+07,1
0.680546675,0.000112658,0.019334,1.0336,0.710679884,0.000182502,0.000107057,0.730565763,4.76E-05,0.000707,-2.00E+05,37.9113,2.00E+07,1
0.731142582,0.000429473,0.024313501,1.1858,0.728293032,0.000175449,0.000103991,0.891155717,3.74E-05,0.000555,-2.00E+05,33.1639,2.00E+07,0
0.736808459,0.000377056,0.0043205,0.737309,0.804899612,0.000181189,8.76E-05,1.29580056,5.61E-05,0.00119,-2.00E+05,22.9933,2.00E+07,1
0.879040131,0.000443729,0.002318,0.763909,0.735508056,0.000176553,8.92E-05,1.21815739,8.32E-05,0.00158,-2.00E+05,25.8177,2.00E+07,0.9
0.514015797,0.000173134,0.042612501,0.852394,0.804899612,0.00018125,8.89E-05,1.38824568,2.84E-05,0.000196,-2.00E+05,22.2591,2.00E+07,1
0.86831125,3.42E-05,0.0168395,1.00745,0.764368152,0.000170508,9.61E-05,1.527402696,6.16E-05,0.000277,-2.00E+05,27.6703,2.00E+07,0.3
0.776078999,0.000334606,0.021128001,0.807404,0.733598196,0.000175551,0.00010439,1.392303823,2.42E-05,0.00102,-2.00E+05,27.4529,2.00E+07,0.6
0.845546775,0.00036752,0.016150501,0.999698,0.725109932,0.00018126,8.12E-05,1.120923991,6.03E-05,0.000325,-2.00E+05,27.6408,2.00E+07,1
0.911683618,7.98E-05,0.0122855,0.749201,0.796199142,0.0001751,9.64E-05,1.680887544,0.000104016,0.00013,0.0135,26.5914,-1.35701,0.9
0.832043889,5.03E-05,0.0007505,0.838635,0.782193506,0.000182469,0.000105587,1.144322015,1.51E-05,0.000256,-2.00E+05,24.4417,2.00E+07,1
0.709990024,0.000104346,0.055164502,0.941054,0.790257357,0.000174791,9.63E-05,1.415563298,3.86E-05,0.000182,-2.00E+05,28.4904,2.00E+07,0.8
0.702167046,0.000324359,0.021979501,1.09526,0.744208526,0.000186833,0.00011066,1.182367531,1.72E-05,0.000254,-2.00E+05,28.5806,2.00E+07,1
0.879491644,0.000185473,0.037803501,0.789821,0.775615103,0.000173256,0.000104629,1.081806651,1.79E-05,0.000161,-2.00E+05,27.3904,2.00E+07,0.8
0.651794844,0.000351756,0.020794501,1.25922,0.720016975,0.000183879,0.000106214,0.87573139,3.04E-05,0.000463,-2.00E+05,36.1623,2.00E+07,0
0.547414242,4.54E-05,0.042738502,0.931508,0.774554069,0.000189108,9.34E-05,1.329450876,2.29E-05,0.000964,-2.00E+05,19.6248,2.00E+07,1
0.510320565,0.000174902,0.0180395,0.940824,0.75206017,0.000178589,9.00E-05,1.283375689,3.53E-05,0.000293,-2.00E+05,23.0761,2.00E+07,1
0.510320565,0.000174902,0.0180395,0.940824,0.75206017,0.000178589,9.00E-05,1.283375689,3.53E-05,0.000293,-2.00E+05,23.0761,2.00E+07,1
0.729542848,3.68E-05,0.029935501,1.09251,0.76203388,0.000169639,9.62E-05,1.240591194,3.39E-05,0.000882,-2.00E+05,23.8316,2.00E+07,0.9
0.729542848,3.68E-05,0.029935501,1.09251,0.76203388,0.000169639,9.62E-05,1.240591194,3.39E-05,0.000882,-2.00E+05,23.8316,2.00E+07,0.8
0.768254262,1.96E-05,0.012768001,0.763556,0.759487401,0.000171676,9.55E-05,1.373635997,3.20E-05,0.00191,-2.00E+05,27.1004,2.00E+07,1
0.837906839,0.000132266,0.052218502,1.26501,0.817632008,0.000172621,9.87E-05,1.552012386,9.40E-05,0.000146,0.000915,23.4314,-0.0958477,1
0.926785558,0.000145697,0.029434501,0.737367,0.774766276,0.000176044,9.47E-05,1.429444773,5.06E-05,0.000177,-2.00E+05,28.144,2.00E+07,1
0.914951054,3.51E-07,0.025574001,0.732173,0.796199142,0.000170161,9.73E-05,1.564560561,7.32E-05,0.000124,-2.00E+05,27.838,2.00E+07,1
0.960942734,0.00018772,0.058143502,0.889726,0.820178487,0.000104407,9.51E-05,1.504140481,4.51E-05,0.000528,0.00128,23.3182,-0.144031,1
0.989599724,0.000136875,0.029314501,0.783588,0.817419801,0.000103188,9.60E-05,1.620168003,2.18E-05,0.000581,0.0382,24.3813,-3.83527,1
0.977968518,8.07E-05,0.050178501,0.93707,0.823361586,0.000106045,9.68E-05,1.551418949,3.30E-05,0.000604,0.0245,23.5222,-2.46534,1
0.959886587,7.38E-05,0.032199501,0.735614,0.79938224,0.000106337,9.94E-05,1.305743971,4.44E-05,0.000806,0.00147,26.7002,-0.171511,1
0.903763105,0.000215539,0.025101501,0.738992,0.7819813,0.000111459,9.30E-05,1.371476567,4.85E-05,0.000926,-2.00E+05,30.1465,2.00E+07,0.9
0.950790432,2.38E-05,0.032721501,0.732011,0.802565339,0.000115911,9.87E-05,1.749181872,4.33E-05,0.000673,-2.00E+05,28.7715,2.00E+07,1
0.724107144,0.00077167,0.68634202,0.747068,0.591207572,0.00010794,9.69E-05,1.298020742,0.000125146,0.000443,-2.00E+05,26.1327,2.00E+07,0
0.956607493,0.000347431,0.026019501,0.758448,0.770522144,0.000113662,8.83E-05,1.248630081,5.79E-05,0.000884,-2.00E+05,28.6753,2.00E+07,1
0.872578525,0.00013313,0.021738501,0.736384,0.771158763,0.00011804,0.000102909,1.431342934,2.11E-05,0.000975,-2.00E+05,30.3133,2.00E+07,0.8
0.370900719,0.000372463,0.529449514,1.45643,0.613489264,0.000112482,0.000120206,1.971989815,0.000111379,0.000638,-2.00E+05,28.389,2.00E+07,0
0.939048839,4.92E-05,0.007478,0.761163,0.808082711,0.000119862,9.69E-05,1.673902044,2.90E-05,0.000555,0.00983,30.1322,-0.999897,1
0.975347961,0.000101104,0.015392,0.746562,0.812751256,0.000104854,9.60E-05,1.612319316,3.25E-05,0.000617,0.0347,24.7254,-3.49287,1
