PointArng,TriangleSize,Extension,Spread,Limit,PerpSym,ParallelSym,OrthoNorm,Volume,GraspIt_Volume,GraspIt_Epsilon,Energy,GraspIt_AutograspQuality,Succ_Rate
0.842581486,270.1203712,0.0029735,1.14116,0.342274079,0.033073052,0.194553988,2.561102787,0.162365379,1.257500867,0.001530347,19.25646356,2.00E+07,0
0.831218074,257.785331,0.0081935,1.25856,0.346093797,0.086918431,0.238919107,1.874385235,0.178951125,4.078563637,4.32E-05,21.38091798,2.00E+07,0.8
0.849141884,255.1014957,0.003374,1.10684,0.347594401,0.055168467,0.232151349,1.684917422,0.176884596,7.240839838,4.91E-05,22.62270014,-2.94495,1
0.72120336,246.499799,0.0013065,1.23353,0.341728405,0.070159384,0.141052491,2.156775611,0.169497626,5.484469496,0,23.46173906,2.00E+07,0
0.933493009,210.0042678,0.054060501,0.915289,0.375423781,0.062158927,0.205917552,1.338576213,0.160378531,4.419246292,0,21.77234722,-1.0617,1
0.875334413,278.9403138,0.138105503,0.750327,0.305850333,0.054928053,0.177918074,1.469114805,0.203819671,2.563245118,0.001120499,18.81688351,-1.92507,1
0.90398941,167.3823451,0.0001715,0.971473,0.405026601,0.061453116,0.164717962,2.740199202,0.170938162,1.98706518,0,14.87801944,-1.38951,1
0.927797551,280.2733621,0.0039345,0.777984,0.328222971,0.113254479,0.125219669,1.448048367,0.20556915,5.291061431,0,11.89714313,-1.58584,1
0.884288349,235.2944555,0.0159585,1.01829,0.365055972,0.085194102,0.16670137,1.717069605,0.204336182,10.79712296,0,15.4721909,-0.917358,1
0.394251809,98.19332653,0.018819501,1.52442,0.393431026,0.029828162,0.027151321,3.074547157,0.276780815,1.353146349,0.001911023,41.00570317,2.00E+07,0
0.35658089,90.04338842,0.068464502,1.49293,0.410074086,0.015904822,0.008390088,3.053942462,0.161259829,1.143027132,0.001982842,41.04148218,2.00E+07,0
0.629106777,75.81132289,0.0070205,0.873312,0.474463629,0.117390744,0.106157456,3.05633408,0.167599126,0.74743098,0.001623304,43.21301944,-2.70604,1
0.67115766,59.99894358,0.021063501,0.877091,0.494244316,0.155419456,0.165323252,3.029415394,0.132567769,0.674262159,0,45.08107768,-0.845697,1
0.078860793,5.968909503,0.105939503,1.50013,0.515798443,0.040626193,0.316933243,1.947499785,0.071961679,0.124163919,0,48.39467307,2.00E+07,0.1
0.689172473,76.85873471,0.051105501,0.739583,0.470916748,0.165391442,0.219268703,3.069738698,0.065567848,1.312169533,0,48.87555684,-2.61862,0.2
0.766352085,22.65634583,0.062294002,1.37539,0.544173495,0.042376639,0.000174268,2.933829769,0.258514783,0.450268267,0,35.27630021,2.00E+07,1
0.511515503,21.97906619,0.046989501,0.87918,0.533123595,0.025386027,0.013706959,2.980301211,0.226247375,0.474151464,0,38.03826759,2.00E+07,0
0.541468801,23.02812242,0.064216502,0.891783,0.531622992,0.043969301,0.013120485,2.898178682,0.278544576,0.428777075,0,35.09378892,2.00E+07,0
0.547198526,15.33455611,0.107034004,1.48343,0.535715547,0.076412886,0.059530992,2.596204239,0.135718695,0.330526013,0,42.65859842,2.00E+07,0
0.398755607,23.98197419,0.0150965,1.11027,0.534351362,0.037402658,0.008897604,2.91646306,0.258473626,0.352946861,0,33.87979594,2.00E+07,0
0.645116716,23.09529122,0.080466502,0.795617,0.540899451,0.061593059,0.021310612,2.531366981,0.266703457,0.379876459,0,38.12237094,2.00E+07,0
0.949925385,39.75175083,0.044169501,0.740992,0.525211321,0.019683187,0.191243351,3.107774246,0.560064169,0.507247592,0.001996222,24.03129798,-3.05854,1
0.988384435,40.36868762,0.051939501,1.07105,0.531350155,0.004128254,0.145537335,3.019310088,0.514713792,0.353284355,0.000572811,28.54033374,-1.95758,1
0.939722998,44.48665009,0.036456001,0.755007,0.517708302,0.008583434,0.111505129,2.877224621,0.497107236,0.457312063,0,23.98661837,2.00E+07,1
0.942347871,42.85077831,0.018175501,0.818988,0.522210114,0.031358644,0.05991961,2.912404243,0.445034768,0.440564093,0,32.83792641,2.00E+07,1
0.925852561,41.40774319,0.011376501,0.735323,0.52152802,0.032528728,0.05304723,2.93778713,0.428176516,0.285052523,0.000282146,39.28818399,2.00E+07,1
0.915342935,41.07378712,0.043489502,1.12155,0.529576713,0.02194372,0.085672236,2.860421399,0.442500817,0.351235086,0,30.52979516,2.00E+07,1
0,0,0.440054012,0.904118,0.405299438,0.218263317,0.048403208,2.67084206,0.350009472,0,0,32.23499643,2.00E+07,1
