PointArng,TriangleSize,Extension,Spread,Limit,PerpSym,ParallelSym,OrthoNorm,Volume,GraspIt_Volume,GraspIt_Epsilon,Energy,Turk_SuccRate,Pysical_Test,Turk_LikeRate,Turk_SuccCnt,Turk_SuccStderr,Turk_LikeCnt,Turk_LikeStderr
0.850595577,51.63986413,0.029908501,0.159,0.491515945,0.137448525,0.013292871,1.49543816,0.280595269,0.457655564,0.000277222,17.90075211,0.797619048,1,0.857142857,21,0.187400767,21,0.358568583
0.819708745,44.27600168,0.014792,0.4617,0.510887376,0.094272524,0.157286803,1.692757977,0.237813092,0.230075604,0.000413933,23.03276395,0.4375,1,0.25,12,0.339200263,12,0.452267017
0,0,0.315618512,0.0899,0.217587548,0.048555662,0.02123205,1.699946028,0.070322061,0,0,38.65391734,0.428571429,0.9,0.428571429,7,0.237797433,7,0.534522484
0.658024714,112.2875521,0.034480501,0,0.33477106,0.307122066,0.026951584,1.650659137,0.261701637,0.981305154,0.00171392,26.66500153,0.730769231,1,0.846153846,13,0.189888631,13,0.375533808
0.647014227,43.37732695,0.572305519,0.49626,0.449771877,0.121947989,0.192690352,2.821280478,0.359941011,6.417268143,0.000300329,30.24033652,0.35,1,0.1,10,0.293446948,10,0.316227766
0.665516701,107.3449282,0.070125503,0,0.302167033,0.239816579,0.228449593,1.699945997,0.202477349,1.707725569,0.004934301,25.8339428,0.6,1,0.6,20,0.235081173,20,0.50262469
0.67043553,108.3510722,0.015522,2.22E-16,0.363009695,0.13826986,0.10841608,1.567328903,0.106585665,1.14798382,0,41.38472578,0,0.2,0,25,0,25,0
0.694550267,136.3214917,0.046525501,0.06424,0.29875657,0.261676813,0.263722166,1.638034847,0.264126616,1.093914852,0.002323679,29.51811241,0.671875,0.5,0.625,16,0.25361963,16,0.5
0.748792362,154.2740174,0.0009485,0.0793,0.339136453,0.176669524,0.150676141,1.570795174,0.369633699,7.856135095,0.00300401,22.49028413,0.703125,1,0.625,16,0.227646473,16,0.5
0.789921616,160.9806181,0.036974001,0.1566,0.249509483,0.11785493,0.16039275,1.570795456,0.413057742,59.27585636,0.00485564,20.0739043,0.770833333,1,0.916666667,12,0.225084159,12,0.288675135
