PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality, Hand_Qx, Hand_Qy, Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z, ObjectName, Object_Qx, Object_Qy, Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz, Start_Position,1.39E+18,Succ_Rate,
0.879491644,0.000185473,0.037803501,0.789821,0.775615103,0.000173256,0.000104629,1.081806651,1.79E-05,0.000161,-2.00E+05,27.3904,2.00E+07,-0.354005675,0.213879931,0.854055939,-0.315473946,0.385209127,-0.008676507,-0.139768977, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,8,
0.651794844,0.000351756,0.020794501,1.25922,0.720016975,0.000183879,0.000106214,0.87573139,3.04E-05,0.000463,-2.00E+05,36.1623,2.00E+07,0.789117066,0.328194001,-0.483982001,-0.188001,0.397000829,0.004996125,-0.148876575, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,0,unreachable
0.547414242,4.54E-05,0.042738502,0.931508,0.774554069,0.000189108,9.34E-05,1.329450876,2.29E-05,0.000964,-2.00E+05,19.6248,2.00E+07,0.789609323,0.588311138,-0.02251185,0.172917146,0.388264582,-0.008009886,-0.156522026, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.510320565,0.000174902,0.0180395,0.940824,0.75206017,0.000178589,9.00E-05,1.283375689,3.53E-05,0.000293,-2.00E+05,23.0761,2.00E+07,0.131029331,0.325454634,0.63279276,0.690278146,0.384746467,0.008925328,-0.157983558, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.510320565,0.000174902,0.0180395,0.940824,0.75206017,0.000178589,9.00E-05,1.283375689,3.53E-05,0.000293,-2.00E+05,23.0761,2.00E+07,0.131029331,0.325454634,0.63279276,0.690278146,0.384746467,0.008925328,-0.157983558, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.729542848,3.68E-05,0.029935501,1.09251,0.76203388,0.000169639,9.62E-05,1.240591194,3.39E-05,0.000882,-2.00E+05,23.8316,2.00E+07,-0.081721199,-0.184460983,0.837488589,-0.507847078,0.383665617,-0.00337315,-0.145044147, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,9,
0.729542848,3.68E-05,0.029935501,1.09251,0.76203388,0.000169639,9.62E-05,1.240591194,3.39E-05,0.000882,-2.00E+05,23.8316,2.00E+07,-0.081721199,-0.184460983,0.837488589,-0.507847078,0.383665617,-0.00337315,-0.145044147, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,8,
0.768254262,1.96E-05,0.012768001,0.763556,0.759487401,0.000171676,9.55E-05,1.373635997,3.20E-05,0.00191,-2.00E+05,27.1004,2.00E+07,0.591041046,-0.796442331,-0.124078647,-0.030896349,0.384103674,0.006651852,-0.156064587, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.837906839,0.000132266,0.052218502,1.26501,0.817632008,0.000172621,9.87E-05,1.552012386,9.40E-05,0.000146,0.000915,23.4314,-0.0958477,-0.025115921,0.996130535,-0.083427665,0.011531401,0.392226173,-0.002870761,-0.142325251, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.926785558,0.000145697,0.029434501,0.737367,0.774766276,0.000176044,9.47E-05,1.429444773,5.06E-05,0.000177,-2.00E+05,28.144,2.00E+07,0.305675511,0.949187505,0.0019655,0.074844499,0.38081631,-0.001827223,-0.133754981, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
