Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used spaceball to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
76	0.570445824	0.00011981	0.100044503	0.1887	0.86113436	0.000196657	4.59E-05	1.50104209	4.26E-06	6.23E-05	NaN	51.5407
77	0.813982867	0.00026348	0.048370502	0.2592	0.593966257	0.000173548	0.000121359	1.56505194	0.000183426	0.000482	0.00295	37.4564
78	0.581761448	0.000147687	0.000868797	0.1125	1.001597155	0.000189837	3.42E-05	1.720887787	1.12E-05	1.86E-05	NaN	50.2866
79	0.442007538	0.000336444	0.125688505	0.0865	0.46048831	0.000169885	0.000118803	2.003494341	0.00016722	0.000409	NaN	25.6176
80	0.33996829	2.04E-05	0.0058805	2.38	0.28478125	0.00020043	7.50E-05	1.846362679	0.000222327	0.000273	NaN	24.7407
81	0.082722481	4.41E-05	0.013958	2.8	0.377727739	0.000138148	0.000149871	1.457112631	8.88E-05	3.17E-06	NaN	19.2443
82	0.859005788	4.26E-05	0.142591503	0	0.746755006	8.51E-05	9.64E-05	1.574695805	3.20E-06	0	NaN	88.4257
83	0.752994682	0.000174774	0.016854001	0.272	0.76394374	8.88E-05	0.000103224	1.570797654	1.27E-05	0.00278	0.0189	68.3095
84	0.569031708	0.000629763	0.020709501	0	0.047322071	7.37E-05	0.000137802	1.642500959	0	0.000646	NaN	65.127
85	0.486989256	0.000571459	0.333163511	0	0.426535255	7.67E-05	9.86E-05	1.596767499	4.25E-05	0.013	NaN	52.2257
86	0	0	1.15E-28	0.176	1.24E-14	0.000295	0.000388	1.597081085	0	0	NaN	202.449
87	0.298448394	0.000217056	0.603134016	0	0.56892588	8.55E-05	0.000127271	1.62924248	7.30E-06	0.000387	0.00239	52.3066
88	0.834857393	0.000195225	0.0103805	0.113	0.773068623	8.81E-05	0.000103576	1.6224836	1.03E-05	0.00208	NaN	67.5465
89	0.820533205	0.001868022	0.264303509	0.5649	0.258892046	8.13E-05	0.000122887	1.462378142	0.000162221	0.00406	NaN	58.9915
90	0.594502241	0.000723928	0.66185602	0	0.369027267	8.00E-05	0.000101707	1.40837259	5.93E-05	0.000788	NaN	43.1053
91	0	0	1.337284678	0	0.871630292	0.000295	0.000388	1.528476887	0	0	NaN	77.5375
92	0.820588522	0.00018122	0.0021305	0.215	0.778798201	8.50E-05	0.000103523	1.564784778	1.36E-05	0.00269	0.056	59.6912
93	0.810023566	0.000161598	0.604968015	0.054	0.569138086	8.03E-05	6.93E-05	1.686732561	6.77E-06	0.000487	NaN	64.6076
94	0.893478196	8.40E-05	0.003584	0	0.773280829	9.08E-05	9.63E-05	1.571292948	5.58E-06	0.00086	NaN	72.3264
95	0	0	2.147547184	0.24	1.115765684	0.000295	0.000388	1.342660441	0	0	NaN	84.4807
96	0.631654544	0.000960525	0.019245501	0.082	0.118199073	7.37E-05	4.26E-05	1.636432749	0	0	NaN	98.9621
97	0.470647201	0.000297302	0.181512004	2.586044055	0.512478927	7.66E-05	0.000140948	1.549114738	1.86E-05	5.18E-05	NaN	56.8081
98	0	0.011869133	1.29621841	0.170646475	1.132007782	0.00015867	0.000199956	1.6637029	0	0	NaN	92.4701
99	0	0.000788305	0.246093507	0	0.960234839	0.000197449	0.000207184	1.315836191	0	0.00111	NaN	27.9104
100	0	0.001075144	0.308631508	0.271	0.887660183	0.000197896	0.000201179	1.585126475	0	0.00075	NaN	31.1589
101	0.78620419	6.10E-05	0.035862501	0	0.750150311	0.000125053	9.11E-05	1.533885616	1.26E-05	0.000253	NaN	56.189
102	0.958464082	3.92E-05	0.139740504	0	0.814661115	9.82E-05	0.00011714	1.521323873	2.02E-06	0.000115	NaN	28.6933
103	0.544915968	1.42E-05	0.218238007	0.176	0.872805722	0.000133164	0.000101055	1.86377424	5.90E-07	0.000309	NaN	47.42
104	0.715617587	8.29E-05	0.005306	0	0.852009476	0.000136619	8.81E-05	1.634987148	1.11E-05	0.000119	0.011	54.1288
105	0.854925893	6.27E-05	0.043989501	0	0.888933423	9.82E-05	0.00011275	1.498700638	7.61E-07	0.000104	NaN	29.4372
106	0	0.001579282	0.098031504	0.111	0.817844214	0.000183266	0.0001886	1.63461229	0	0.000891	0.0114	25.5227
107	0.635157676	2.77E-05	0.0041165	0.0196	0.705162513	0.000112119	0.000106472	1.572239235	1.40E-05	0.000481	NaN	62.1995
108	0	0.001090435	0.082646002	0.575	1.087771002	0.000211863	0.000194715	1.331029921	0.001090435	0	NaN	35.4843
109	0.505869469	0.000223843	0.73125152	0	0.570411326	9.09E-05	5.71E-05	1.576215582	4.90E-05	0.000311	NaN	43.2097
110	0	0	0.168996505	0	0.92713061	0.00013453	0.000130884	1.639678138	5.01E-08	0.00284	0.0242	22.824
