PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0,0,0.0016985,0,0.105466678,0.000295,0.0006,1.563291784,0,0.00848,0.0214,12.885,-2.39211,1
0.770312041,0.000174284,0.0093485,0.00433,0.757365335,0.000202027,0.000147285,1.640893816,0.000229495,5.84E-05,0.00154,30.0886,-0.155608,1
0.746402903,0.000113565,0.123718503,0.2715,0.211994388,0.000176211,0.000126145,1.555298672,0.000308152,0.00185,0.000642,34.4931,-0.119726,1
0.857028833,0.000320706,0.465328513,1.124,0.256557774,0.000170018,0.000141953,0.995314274,0.00017683,0.00231,-2.00E+05,33.0753,2.00E+07,1
0.874735354,0.000362815,0.025912501,0.239,0.79195501,0.000182118,0.000183966,1.600145803,0.000145262,0.000118,0.011,29.3009,-1.09886,0.8
0.951514776,0.000349528,0.0098705,0.0669,0.787923085,0.000144525,0.000166909,1.563327411,0.000121872,0.000181,0.016,22.0286,-1.60869,1
0.617524286,0.000176349,0.011479501,0,0.339954965,0.000183279,0.000124807,1.571902126,0.000112922,0.000434,0.0148,46.8549,-1.49043,0
0,0,0.450955513,0.521,0.744845146,0.00021826,0.000168427,1.58429276,2.74E-05,0.000621,0.0178,38.7519,-1.80091,1
0.526917863,0.000144592,0.092498003,0,0.238520212,0.000138396,0.000125228,1.551610417,0.0001474,0.000618,-2.00E+05,35.9414,2.00E+07,0
0,0,0.0067205,0,0.13899532,0.000190375,0.000200188,1.502674448,0.000128789,0.00326,0.00983,17.5201,-1.08058,1
0,0,1.019637631,0.0314,0.995666543,0.000295,0.0006,1.621258463,0,0,-1.00E+05,130.042,1.00E+07,0
0.580349718,0.000103244,0.0062145,0.0464,0.306214116,0.000161856,0.000125078,1.72469977,0.000103218,0.000535,0.00747,40.338,-0.763063,1
0.773836083,0.000361043,0.027226501,0.245,0.736569088,0.000149136,0.000176712,1.872461537,0.000131325,0.000106,0.00493,28.9902,-0.496272,1
0.84135481,0.000424479,0.017912001,0.1484,0.750362518,0.000163001,0.000130115,1.653693874,0.000131121,0.000138,0.0158,22.5769,-1.58862,1
0,0,0.00905,0.004,0.195017861,0.000179885,0.000200023,1.610684499,0.000109674,0.00298,0.0158,18.9701,-1.6713,1
0.655278083,0.00023367,0.022334001,2.44E-15,0.25486012,0.000166563,0.000175605,1.589743444,9.61E-05,0.000434,0.0122,31.0169,-1.23256,0.9
0,0,0.050628502,0.3,0.113742736,0.000163769,0.000200047,1.629019613,0.000348762,0.005,0.000333,21.5441,-0.183415,1
0.773910786,0.000498244,0.29898201,1.8187,0.24552303,0.000190915,0.000158039,2.752365909,2.24E-05,0.00409,-2.00E+05,32.617,2.00E+07,1
0.839043222,0.000389109,0.0030755,0.2165,0.759275194,0.000184869,0.000169704,1.608549716,0.000140155,0.000145,0.02,23.8944,-1.99981,1
0,0,1.945130795,0.0067,0.880153445,0.000295,0.0006,1.563318585,0,0,-1.00E+05,92.2418,1.00E+07,0
0,0,0.234784508,0.3603,0.213904247,0.000209142,0.000150861,1.515443108,0.000372884,0.00334,-2.00E+05,32.9764,2.00E+07,1
0.717875441,0.000466566,0.015949501,0.4667,0.739752188,0.00016767,0.000182578,1.765721548,0.000171687,0.000206,0.0211,32.5233,-2.11134,1
0.763400002,0.000514504,0.024686,0.3525,0.736781295,0.000171879,0.000109309,1.610426684,0.00022675,0.000188,0.017,34.7535,-1.70339,1
0.73338154,0.000534085,0.037464501,0.4605,0.751635757,0.000194865,9.66E-05,1.287260833,0.00024206,0.000187,0.00807,45.3018,-0.81292,1
0.796353774,0.000278072,0.029114,0.0185,0.793016043,0.000173759,0.000132148,1.555103081,7.88E-05,5.85E-05,0.000232,21.2533,-0.0249253,1
0.823025813,0.000342286,0.0147155,0.1341,0.775615102,0.000179819,0.000116035,1.736874623,0.000128365,7.04E-05,0.00651,33.8192,-0.653248,1
0,0,1.558058903,2.094,0.572861099,0.000295,0.0006,2.841882471,0,0,-1.00E+05,90.8773,1.00E+07,0
0,0,0.045526501,0.0893,0.152152129,0.000171745,0.000133415,1.756466089,0.000406467,0.00248,0.00316,28.8169,-0.390836,1
0,0,0.818126023,0.1299,0.644047014,0.00011756,0.000136099,1.412530239,0.00045924,0.000923,0.0213,46.4535,-2.1611,1
0.722342597,4.87E-05,0.0097335,0,0.755031062,0.000181185,0.000183278,1.624744052,0.000130167,5.61E-05,0.0052,21.7373,-0.521844,1
0.802384694,0.000243064,0.002318,0,0.768187872,0.000176833,0.000168126,1.563321083,9.26E-05,5.50E-05,0.00881,21.9514,-0.882648,1
0.678725982,0.000149162,0.383005512,0.1839,0.847977551,0.000208593,0.00012545,1.375243927,1.82E-06,0.000124,-2.00E+05,33.8203,2.00E+07,1
0,0,0.043515501,0.445253749,0.144937105,0.000196772,0.000200761,1.563329398,0.000200504,0.00995,-2.00E+05,25.4462,2.00E+07,1
0,0,0.098282003,0,0.226424437,0.000148761,0.000200058,1.55700538,0.000336109,0.00185,0.0135,36.1674,-1.40768,0.4
nan,4.03E-16,0.064968002,2.877305792,0.851160649,0.000152546,0.000227051,1.463405874,2.22E-06,0,-1.00E+05,30.1771,1.00E+07,1
0.907064303,0.000134826,0.004614,0.30515383,0.755031062,0.000189349,0.000145385,1.515540868,0.000260445,0.000163,0.0186,23.9496,-1.8677,1
0,0.001135179,0.021686001,0.051920245,0.171462929,0.000251663,0.000351044,1.57082262,1.92E-05,0.00542,0.0269,19.3084,-2.85275,1
0.215088272,2.26E-05,0.493818516,2.288639145,0.509508033,0.000241253,0.000151242,2.661336426,6.89E-05,0.000207,-2.00E+05,43.9978,2.00E+07,0
0.353080317,3.00E-05,0.025590501,0.00365,0.978060192,0.00013096,0.000142237,1.686241795,1.72E-08,0.000137,-2.00E+05,31.7459,2.00E+07,1
0.000279495,3.96E-09,0.0007875,0.1152,1.05296912,0.000161555,0.000132581,1.613116922,5.08E-09,1.87E-05,-2.00E+05,27.2748,2.00E+07,1
0,0.001905808,0.187491506,0.0346,0.852646095,0.000210083,0.000302863,1.569645648,0,0.000625,-2.00E+05,29.9633,2.00E+07,1
0.723408877,0.000251473,0.37970601,0.1336,0.731900544,0.000171011,0.000140533,1.903335591,6.88E-06,0.000374,-2.00E+05,47.3701,2.00E+07,1
