PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Hand_Qx,Hand_Qy,Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z,ObjectName,Object_Qx,Object_Qy,Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz,Start_Position,1.37E+18,Interface,ID,Finger_Spr.,Succ._Rate,Interface
0.851805436,0.000389205,6.20E-05,0.19415,0.790469563,0.167240883,0.097148699,1.555104531,0.000202168,0.000607,0.0391,24.7376,-3.93055,0.482373143,-0.508816721,0.509697891,-0.498627873,0.399846752,-0.000685129,-0.219051764,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Gamepad,2,0.19415,10,3
0,0,0.987264532,0.2,0.659325888,0.648102826,0.270601629,1.563286643,0.000166577,0.00978,-2.00E+05,30.8676,2.00E+07,0.707944389,-0.706045964,0.009566585,-0.014910379,0.455519175,0.026690453,-0.189664959,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Gamepad,3,0.2,10,3
0.919561098,0.000260185,0.0039195,0,0.804687406,0.16855018,0.008955157,1.563410238,0.000149856,0.000278,0.013,23.4929,-1.30444,-0.469895999,0.559850309,0.525978687,-0.434869869,0.433025857,0.003014884,-0.233513847,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Gamepad,4,0,10,3
0,0,0.012554,0.04,0.368178441,0.499993747,0.095522486,1.579216426,0.000263764,0.0336,0.0704,35.1637,-8.04888,0.660003427,-0.751236517,0.006257951,0.000105905,0.415322071,0.017134162,-0.223143047,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Gamepad,5,0.04,7,3
0.866644233,0.000407492,0.028459501,0.159,0.765216979,0.184653571,0.006378131,1.555137675,0.00019057,0.000635,0.0141,23.1586,-1.42484,0.537929997,-0.506040775,0.45417979,-0.498271783,0.405639488,0.009360646,-0.234748851,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Gamepad,6,0.159,10,3
0.818842445,0.000279261,0.0152435,0.4617,0.795562522,0.121715156,0.153117055,1.135392392,0.0001923,0.000375,0.00659,28.9527,-0.670563,0.541076999,-0.369757131,-0.651236412,0.382630999,0.429232502,0.002016816,-0.20930953,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Gamepad,7,0.4617,10,3
0.753355553,0.000222984,5.15E-05,0.0899,0.505688315,0.202002289,0.17735057,1.563349681,0.000103837,0.00272,0.0492,49.8382,-4.99757,0.659342658,-0.750741674,0.027971685,-0.029525981,0.415511453,-0.026025412,-0.250225068,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Gamepad,8,0.0899,9,3
0.656103154,6.31E-05,0.033981501,0,0.520542776,0.385643258,0.018934362,1.765114439,0.000176092,0.00128,0.0147,32.7342,-1.50805,0.676214796,-0.729812992,0.085218681,0.053332188,0.430000588,-0.006649684,-0.229779361,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Gamepad,9,0,10,3
0.659398851,6.19E-05,0.537660518,0.49626,0.708982231,0.100012878,0.097402326,1.631831403,0.000285815,0.00185,-2.00E+05,35.3516,2.00E+07,-0.153022703,0.983169905,0.08913812,-0.044893045,0.401850295,0.021553057,-0.205430655,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Gamepad,10,0.49626,10,3
0.616479307,7.57E-05,0.070312503,2.22E-16,0.4698254,0.278793798,0.150972246,1.571283054,0.000147936,0.00218,0.0411,38.0016,-4.17472,0.659998566,-0.751255542,0.003252963,-0.002534102,0.396719406,-0.009671373,-0.210187596,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Gamepad,11,0,10,3
0.676541912,0.000122111,0.029433501,0,0.586539027,0.178794773,0.109882097,1.485490155,6.20E-05,0.00135,-2.00E+05,63.7301,2.00E+07,-0.185280453,0.125918374,0.694557947,-0.683670224,0.430037999,0.028833971,-0.250046388,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Spaceball,11,0,2,2
0.692024611,5.29E-05,0.046525501,0.06424,0.464732442,0.313935117,0.263675587,1.743799739,0.000186619,0.00205,0.0207,35.7954,-2.13313,0.059105561,-0.063285455,0.727728736,0.680376639,0.433009738,-0.008001304,-0.190240381,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Interactive_Markers,10,0.06424,5,1
0.747918392,0.000132,0.000824,0.0793,0.519269536,0.527039988,0.159713753,1.560833973,0.000289995,0.00245,0.0158,35.6673,-1.65599,0.707098427,-0.707097591,-0.003522418,-0.003522001,0.419908505,0.002624482,-0.211897443,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Interactive_Markers,11,0.0793,10,1
0.790540643,0.000156914,0.037956501,0.1566,0.426747461,0.527039999,0.16308897,1.619235906,0.000320701,0.0265,0.0781,34.1973,-8.6092,0.706899669,-0.706899126,0.017124669,0.017123937,0.409487094,0.012654529,-0.214511116,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Interactive_Markers,12,0.1566,10,1
